Gw Messstellen BB;ID;x;y;Beobachtungsbeginn;geländehöhe_m_NN;messpunkthöhe_m_NN;FIOK_m_unter_GOK;FIUK_m_unter_Gok;Comment
Lockstädt OP;27381010;301204;5900001;01.05.97;49,7;50,57;13;15;
Beveringen OP;28390113;315001;5892535;01.03.89;69,7;69,7;24;28;
Schw.,Krzg.Teichm.-Seelenb.str;29519030;451246;5879582;01.12.83;6;7,01;;;
Stolpe, Birkenallee;30400591;328394;5872140;01.11.69;43,7;44,36;6,4;7,4;
Wusterhausen, Bahnlinie;31400780;328475;5861312;01.01.30;33,2;34,02;2,9;4,9;
Hohenfinow-Struwenberg;31491979;428659;5853630;01.12.97;1,5;2,34;25,86;27,86;laut landesamt: 31491992
Hohenbruch, Weg n.Teerofen;32455305;376839;5851049;01.06.58;37,2;37,43;;;
Bredow, Siedlung Glien;33437070;362459;5831446;01.06.71;31,6;31,94;8,9;10,4;
Perwenitz, Luchstraße, OP;33437090;363274;5832980;01.06.74;32,35;33,16;9,95;11,95;
Nauen, Graf-Arco-Straße;33437106;358447;5833769;01.06.71;31,2;31,75;8,5;10;
Hennigsdorf, 1,3 km v. Trappen-Allee;33452451;376532;5831410;01.05.72;32,15;32,86;7,45;8,95;
Bernau/Lindow;33470960;403932;5835894;01.01.03;66,1;66,51;2,6;5,6;
Bagow, Bollmannsruh;34426110;342657;5820028;01.07.69;31,1;31,67;5,1;6,3;
Sachsendorf, KSP Nr. 71;34522461;465074;5818046;15.11.68;12;12,29;;;
Jütchendorf,Str.Gröben-Gr.Beu.;37451908;376464;5793467;08.11.78;35,98;36,65;;;
Felgentreu, Kemnitzer Straße;39441476;363856;5773720;22.08.75;49,88;50,38;7,18;8,68;laut landesamt:  39441477
Kuschkow;39496056;428766;5768724;01.01.70;46,23;46,93;6,73;8,73;
Mahdel;42458092;373910;5729218;01.01.74;79,97;80,99;16,59;18,59;
Byhlen;40500136;441226;5750660;01.01.53;54,5;55,3;;;